model,trim,engine,category,part_number,normalized_part_number,description,detail,evidence_url
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,6509258AA,6509258AA,Woodruff Key,![Image 66: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Damper To Crankshaft. | MSRP  $6.65 | $4.35,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,6509338AA,6509338AA,Hex Flange Head Bolt Mounting,![Image 76: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** M6x1.00x19.00. Tone Ring Sensor To Crankshaft. | MSRP  $3.10 | $1.98,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,6511710AA,6511710AA,Hex Flange Head Bolt Mounting,![Image 62: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Damper To Crankshaft. M16x1.50x60.00. | MSRP  $19.45 | $12.76,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,68223854AA,68223854AA,Crankshaft Rear Oil Retainer And Seal,![Image 78: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** CRANKSHAFT OIL SEAL RR | MSRP  $147.00 | $96.80,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,4556020AB,4556020AB,Core Plug Cylinder Head Plug,![Image 65: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. | *Description:** Water Jacket Core. Two [2] Per Cylinder Head. Coolant Front And Rear Of Cylinder Head. Back Of Lower Intake Manifold. Mega Cab. Oil Gallery. [1.25 Diameter]. 1 1/4. | MSRP  $7.20 | $4.62,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,5240849,5240849,Dowel Pin Mounting,![Image 41: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. | *Description:** All Plugs And Dowel Pins Must Be Installed On Cylinder Block Before Installing Engine. Item 13 Also Contained in Short Block Engine Kit. Mega Cab. Cylinder Block To Transaxle. Block To Transmission. Cylinder Block To Head. Engine Block To Clutch Housing. | MSRP  $9.65 | $6.33,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6100997,6100997,Dowel Pin Camshaft Sprocket,![Image 51: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $3.35 | $2.15 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6102439AA,6102439AA,Dowel Mounting,"![Image 35: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Mounting, Transmission To Cylinder Block. Transmission To Engine. Transmisasion To Cylinder Block. | MSRP  $3.20 | $2.04",https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6104136AA,6104136AA,Pan Head Bolt Mounting,![Image 57: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Front Splash Shield To Oil Pump. M5x.08x16.00. Piston Oil Cooler Jet. Door Handle to Door M5x16. | MSRP  $8.95 | $5.83,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6505758AA,6505758AA,Pin Mounting,![Image 53: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** All Plugs And Dowel Pins Must Be Installed On Cylinder Block Before Installing Engine.. Tensioner Arm. Item 13 Also Contained in Short Block Engine Kit. Panel Attaching Pins. Timing Chain Drive. Timing Chain Guide. | MSRP  $5.40 | $3.47,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6509170AA,6509170AA,Hex Head Bolt Mounting,![Image 49: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** M8x1.25x58.00. Main Bearing Cross To Cylinder Block. | MSRP  $3.55 | $2.26,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
