model,trim,slug,category,category_slug,source_url,part_number,normalized_part_number,description,detail,product_url
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84RY4AM,1MZ84RY4AM,Front Door Exterior Handle Right,![Image 103: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $196.00 | $128.70 | +,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84ry4am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84GW7AM,1MZ84GW7AM,2020 2021 Dodge Challenger Front Door Exterior Handle Right,![Image 105: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $181.00 | $118.80,https://www.moparamerica.com/oem-parts/mopar-2020-2021-dodge-challenger-front-door-exterior-handle-right-1mz84gw7am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84NRVAM,1MZ84NRVAM,2014 2021 Mopar Front Door Exterior Handle Right,![Image 107: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $196.00 | $128.70 | +,https://www.moparamerica.com/oem-parts/mopar-2014-2021-mopar-front-door-exterior-handle-right-1mz84nrvam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84JRYAJ,1MZ84JRYAJ,Front Door Exterior Handle Right,![Image 109: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $121.00 | $78.93,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84jryaj
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84JSCAJ,1MZ84JSCAJ,Front Door Exterior Handle Right,![Image 111: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $162.00 | $105.55 | +,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84jscaj
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84ZR3AM,1MZ84ZR3AM,2013 2021 Mopar Front Door Exterior Handle Right,![Image 113: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $205.00 | $134.20,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-right-1mz84zr3am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85DX8AM,1MZ85DX8AM,2013 2021 Mopar Front Door Exterior Handle Left,![Image 115: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $201.00 | $130.90,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-left-1mz85dx8am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85NVPAM,1MZ85NVPAM,2015 2021 Mopar Front Door Exterior Handle Left,![Image 117: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $180.00 | $117.70,https://www.moparamerica.com/oem-parts/mopar-2015-2021-mopar-front-door-exterior-handle-left-1mz85nvpam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84NVPAM,1MZ84NVPAM,2020 2021 Dodge Challenger Front Door Exterior Handle Right,![Image 119: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $178.00 | $116.60,https://www.moparamerica.com/oem-parts/mopar-2020-2021-dodge-challenger-front-door-exterior-handle-right-1mz84nvpam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84LAUAM,1MZ84LAUAM,2013 2021 Mopar Front Door Exterior Handle Right,![Image 121: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $223.00 | $146.30,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-right-1mz84lauam
