vin,vehicle,category,normalized_part_number,catalog_part_numbers,descriptions,assemblies,part_urls,source_urls,illustration_files
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6030441,6030441,Pin,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-push-pin-6030441,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6102132AA,6102132AA,Hex Head Screw | Screw,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-hex-head-screw-6102132aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,6102132AA,6102132AA,Hex Head Screw | Screw,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-hex-head-screw-6102132aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6104725AA,06104725AA | 6104725AA,Hex Nut | Washer,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-hex-nut-6104725aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,6104725AA,06104725AA | 6104725AA,Hex Nut | Washer,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-hex-nut-6104725aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6105038AA,6105038AA,Bolt | Hex Flange Head Bolt,1:Screw,https://www.moparamerica.com/oem-parts/mopar-hex-flange-head-bolt-6105038aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6507559AA,6507559AA,Bumper Nut | U-nut,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-bumper-nut-6507559aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6508182AA,06508182AA | 6508182AA,Hex Head Screw And Washer | Washer,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-hex-head-screw-and-washer-6508182aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6510026AA,6510026AA,Screw,1:Screw,https://www.moparamerica.com/oem-parts/mopar-screw-6510026aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,6510026AA,6510026AA,Screw,1:Screw,https://www.moparamerica.com/oem-parts/mopar-screw-6510026aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,68036991AA,68036991AA,Plate | Tapping Plate,1:Screw,https://www.moparamerica.com/oem-parts/mopar-tapping-plate-68036991aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,68038976AD,68038976AD,2011-2020 Chrysler 300 - Side Air Bag Support Right | Right,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-2011-2020-chrysler-300-side-air-bag-support-right-68038976ad,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,68038977AD,68038977AD,2011-2020 Chrysler 300 - Side Air Bag Support Left | Left,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-2011-2020-chrysler-300-side-air-bag-support-left-68038977ad,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,68222742AH,68222742AH,Right,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-side-curtain-air-bag-right-68222742ah,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,68222743AG,68222743AG,Left,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-side-curtain-air-bag-left-68222743ag,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,68282914AD,68282914AD,Bag,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-passenger-air-bag-68282914ad,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,68282914AD,68282914AD,Bag,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-passenger-air-bag-68282914ad,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,68530280AA,68530280AA,Module | Occupant Restraint Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-occupant-restraint-module-68530280aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png
